Item_ID,Date,Net_Qty,Qty,Refund_Qty,R_Amt,W_Amt,Profit,O_B,Closing_Stock,Net_Tax,W_Rate,R_Rate,Margin_Abs,Margin_Pct,GP_Index_No,pluno,Item_Name,Group,Category,Month,Year,Quarter,Time_Index,Lag_1,Lag_2,Lag_3,Rolling_Mean_3M
001006P_1006.0,2024-01-01,1.0,,,,,,,,,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,1,2024,1,1,,,,
001006P_1006.0,2024-02-01,2.0,2.0,0.0,102.6,97.72,4.88,2.0,0.0,0.0,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,2,2024,1,2,1.0,,,1.0
001006P_1006.0,2024-03-01,52.0,52.0,0.0,2667.6,2540.72,126.88,0.0,48.0,0.0,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,3,2024,1,3,2.0,1.0,,1.5
001006P_1006.0,2024-04-01,57.0,57.0,0.0,2924.1,2785.02,139.08,48.0,91.0,0.0,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,4,2024,2,4,52.0,2.0,1.0,18.333333333333332
001006P_1006.0,2024-05-01,69.0,69.0,0.0,3539.7,3371.34,168.36,91.0,122.0,0.0,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,5,2024,2,5,57.0,52.0,2.0,37.0
001006P_1006.0,2024-06-01,81.0,81.0,0.0,4155.3,3957.66,197.64,122.0,141.0,0.0,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,6,2024,2,6,69.0,57.0,52.0,59.333333333333336
001006P_1006.0,2024-07-01,45.0,45.0,0.0,2308.5,2198.7,109.8,129.0,84.0,0.0,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,7,2024,3,7,81.0,69.0,57.0,69.0
001006P_1006.0,2024-08-01,48.0,48.0,0.0,2462.13,2345.01,117.12,168.0,172.0,0.0,48.845,51.285,2.4400000000000013,0.04995394063073466,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,8,2024,3,8,45.0,81.0,69.0,65.0
001006P_1006.0,2024-09-01,67.0,67.0,0.0,3435.09,3271.61,163.48,86.0,19.0,0.0,48.83,51.27,2.440000000000005,0.0499692811796028,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,9,2024,3,9,48.0,45.0,81.0,58.0
001006P_1006.0,2024-10-01,15.0,15.0,0.0,769.05,732.45,36.6,19.0,4.0,0.0,48.83,51.27,2.440000000000005,0.0499692811796028,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,10,2024,4,10,67.0,48.0,45.0,53.333333333333336
001006P_1006.0,2024-11-01,24.0,24.0,0.0,1231.2,1172.64,58.56,4.0,30.0,0.0,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,11,2024,4,11,15.0,67.0,48.0,43.333333333333336
001006P_1006.0,2024-12-01,28.0,28.0,0.0,1436.4,1368.08,68.32,30.0,2.0,0.0,48.86,51.3,2.4399999999999977,0.04993860008186651,001006P,1006.0,GELLETE PRESTO 5S R/SET,I,Grocery,12,2024,4,12,24.0,15.0,67.0,35.333333333333336
